Place,Coordinates
aguacaliente (mexico),"21.8796,-102.28873"
alamo (mission : san antonio  tex.),"29.4259,-98.4861076"
alvarado (veracruz-llave  mexico),"18.856877,-97.1004124"
anián  strait of,"65.88118,-168.916122"
aranjuez (spain),"40.036461,-3.608325743"
atotonilco el alto (mexico),"27.00421993,-105.0340304"
barca (jalisco  mexico),"20.277753,-102.55001"
barcelona (spain),"41.38124277,2.158583844"
bayoreca (mexico),"27.55,-109.5"
buen retiro (madrid  spain),"40.4168,-3.686"
caborca (sonora  mexico),"30.71334149,-112.1553626"
cádiz (spain),"36.534526,-6.2988393"
cajón (mexico),"28.633031,-110.533032"
california (new spain),"26.0117564,-111.347753"
canada  new (sonora),"31.2640936,-110.9582545"
carrizal (chihuahua  mexico),"30.5613187,-106.652982"
cartagena (colombia),"10.423835,-75.53848"
casas grandes (chihuahua  mexico),"30.3667,-107.95"
castile (spain),"40.47403461,-3.679584518"
catalonia (spain),"41.78901981,-4.478431446"
san miguel de cerro gordo (durango  mexico),"24.32194813,-104.704549"
chametla (sinaloa  mexico),"22.87757,-105.957832"
chihuahua (chihuahua  mexico),"28.6349828,-106.050529"
china,"39.90585394,116.38085"
coahuila (mexico),"20.74070388,-99.38271489"
coapas (mexico),"19.3102896,-99.1376415"
colima (mexico),"19.2432989,-103.7284876"
colorado river,"34.259377,-114.1346633"
copala (sinaloa  mexico),"23.39579752,-105.934814"
corodéguachi (sonora  mexico),"31.5685248,-111.050915"
corrales (mexico),"25.203942,-105.5705518"
havana (cuba),"23.08922233,-82.3378943"
cuencamé (durango  mexico),"24.8667,-103.6833"
pasaje (durango  mexico),"24.926775,-103.805852"
cuitzeo (mexico),"20.3425724,-102.78383"
culiacán (sinaloa  mexico),"24.790451,-107.409708"
durango (durango  mexico),"24.02760608,-104.6675253"
guadiana (california  mexico),"33.5765339,-117.6617779"
san pedro del gallo (durango  mexico),"25.56602392,-104.2934419"
el gallo (durango  mexico),"25.56602392,-104.2934419"
el pardo (spain),"40.5211319,-3.77487505"
el paso del norte (mexico),"31.7601227,-106.486574"
el puerto de santa maría (spain),"36.584487,-6.25692762"
espíritu santo bay (tex.),"28.3588514,-96.5175911"
fresnillo (zacatecas  mexico),"23.166009,-102.8727136"
galicia (spain),"42.744885,-8.4058138"
gila river (n.m. and ariz.),"33.040719,-111.405933"
gran quivira (n.m.),"34.26694125,-106.1031958"
guadalajara (jalisco  mexico),"20.6597,-103.3496"
guainomota (nayarit  mexico),"21.7903151,-104.8458822"
guanaceví (durango  mexico),"25.93,-105.95"
guanajuato (guanajuato  mexico),"21.017948,-101.2592536"
guatemala,"14.64282926,-90.5152626"
guevavi (ariz.),"31.4099005,-110.9017523"
hidalgo del parral (chihuahua  mexico),"26.9333,-105.6667"
hopi (ariz.),"35.8978453,-110.5010113"
huejotzingo (puebla  mexico),"19.15867,-98.4065261"
islas marías (mexico),"21.4601963,-106.419754"
jalapa (veracruz  mexico),"19.529563,-96.9167394"
janos (chihuahua  mexico),"30.8885607,-108.1960349"
teuricachi (sonora  mexico),"30.87470405,-109.6702087"
labrador (n.l.),"52.937556,-66.9163213"
laguna de san pedro (sinaloa  mexico),"24.76996,-107.5942622"
lima (peru),"-12.0464,-77.0428"
los adaes (tex.),"31.7074382,-93.29317309"
madrid (spain),"40.4168,-3.7038"
mapimí (durango  mexico),"25.83355872,-103.8492983"
mayo river (sonora  mexico),"26.89651702,-109.6863409"
mazapil (durango  mexico),"25.18504216,-105.9288818"
mexico city (mexico),"19.4326,-99.1332"
michoacán (mexico),"19.6966726,-101.169712"
