source,target,weight
guadalajara (jalisco  mexico),tarazona (spain),1
guadalajara (jalisco  mexico),nueva vizcaya (mexico),26
guadalajara (jalisco  mexico),madrid (spain),21
guadalajara (jalisco  mexico),puebla (mexico),3
nueva vizcaya (mexico),tarazona (spain),1
madrid (spain),tarazona (spain),1
puebla (mexico),tarazona (spain),1
madrid (spain),nueva vizcaya (mexico),70
nueva vizcaya (mexico),puebla (mexico),4
madrid (spain),puebla (mexico),4
madrid (spain),mexico city (mexico),9
mexico city (mexico),nueva vizcaya (mexico),9
galicia (spain),nueva vizcaya (mexico),10
galicia (spain),madrid (spain),9
galicia (spain),guadalajara (jalisco  mexico),10
hidalgo del parral (chihuahua  mexico),nueva vizcaya (mexico),17
cerro gordo (durango  mexico) ,nueva vizcaya (mexico),14
hidalgo del parral (chihuahua  mexico),madrid (spain),20
cerro gordo (durango  mexico) ,madrid (spain),13
cerro gordo (durango  mexico) ,hidalgo del parral (chihuahua  mexico),6
nueva vizcaya (mexico),sonora (mexico),18
madrid (spain),sonora (mexico),20
papigochic (mexico) ,sonora (mexico),1
sonora (mexico),villa de aguilar (mexico) ,2
hidalgo del parral (chihuahua  mexico),sonora (mexico),4
nueva vizcaya (mexico),papigochic (mexico) ,1
nueva vizcaya (mexico),villa de aguilar (mexico) ,3
madrid (spain),papigochic (mexico) ,1
madrid (spain),villa de aguilar (mexico) ,3
papigochic (mexico) ,villa de aguilar (mexico) ,1
hidalgo del parral (chihuahua  mexico),papigochic (mexico) ,1
hidalgo del parral (chihuahua  mexico),villa de aguilar (mexico) ,1
sinaloa (mexico),sonora (mexico),23
san sebastián (sinaloa  mexico) ,sonora (mexico),4
buen retiro (madrid  spain),sonora (mexico),5
san sebastián (sinaloa  mexico) ,sinaloa (mexico),9
nueva vizcaya (mexico),sinaloa (mexico),25
madrid (spain),sinaloa (mexico),38
sinaloa (mexico),villa de aguilar (mexico) ,1
buen retiro (madrid  spain),sinaloa (mexico),5
nueva vizcaya (mexico),san sebastián (sinaloa  mexico) ,10
madrid (spain),san sebastián (sinaloa  mexico) ,10
san sebastián (sinaloa  mexico) ,villa de aguilar (mexico) ,1
buen retiro (madrid  spain),san sebastián (sinaloa  mexico) ,1
buen retiro (madrid  spain),nueva vizcaya (mexico),15
buen retiro (madrid  spain),madrid (spain),7
buen retiro (madrid  spain),villa de aguilar (mexico) ,2
durango (durango  mexico),nueva vizcaya (mexico),24
durango (durango  mexico),madrid (spain),22
durango (durango  mexico),new mexico,4
durango (durango  mexico),villa de aguilar (mexico) ,1
buen retiro (madrid  spain),durango (durango  mexico),4
durango (durango  mexico),san francisco del oro (chihuahua  mexico),6
new mexico,nueva vizcaya (mexico),10
nueva vizcaya (mexico),san francisco del oro (chihuahua  mexico),14
madrid (spain),new mexico,9
madrid (spain),san francisco del oro (chihuahua  mexico),12
new mexico,villa de aguilar (mexico) ,1
buen retiro (madrid  spain),new mexico,3
new mexico,san francisco del oro (chihuahua  mexico),5
san francisco del oro (chihuahua  mexico),villa de aguilar (mexico) ,1
buen retiro (madrid  spain),san francisco del oro (chihuahua  mexico),3
hopi (ariz.),nueva vizcaya (mexico),4
hopi (ariz.),madrid (spain),3
buen retiro (madrid  spain),hopi (ariz.),2
hidalgo del parral (chihuahua  mexico),hopi (ariz.),2
buen retiro (madrid  spain),hidalgo del parral (chihuahua  mexico),2
saltillo (coahuila  mexico),sinaloa (mexico),3
san hipólito (durango  mexico) ,sinaloa (mexico),4
atotonilco el alto (mexico),sinaloa (mexico),1
cuencamé (durango  mexico),sinaloa (mexico),4
mapimí (durango  mexico),sinaloa (mexico),2
parras de la fuente (coahuila  mexico),sinaloa (mexico),2
san juan del río (durango  mexico),sinaloa (mexico),1
mazapil (zacatecas  mexico),sinaloa (mexico),2
sinaloa (mexico),tepehuanes (durango  mexico),2
hidalgo del parral (chihuahua  mexico),sinaloa (mexico),6
saltillo (coahuila  mexico),san sebastián (sinaloa  mexico) ,2
saltillo (coahuila  mexico),san hipólito (durango  mexico) ,2
atotonilco el alto (mexico),saltillo (coahuila  mexico),1
nueva vizcaya (mexico),saltillo (coahuila  mexico),4
madrid (spain),saltillo (coahuila  mexico),4
cuencamé (durango  mexico),saltillo (coahuila  mexico),1
mapimí (durango  mexico),saltillo (coahuila  mexico),1
parras de la fuente (coahuila  mexico),saltillo (coahuila  mexico),3
saltillo (coahuila  mexico),san juan del río (durango  mexico),1
mazapil (zacatecas  mexico),saltillo (coahuila  mexico),2
saltillo (coahuila  mexico),tepehuanes (durango  mexico),2
hidalgo del parral (chihuahua  mexico),saltillo (coahuila  mexico),4
san hipólito (durango  mexico) ,san sebastián (sinaloa  mexico) ,5
atotonilco el alto (mexico),san sebastián (sinaloa  mexico) ,1
cuencamé (durango  mexico),san sebastián (sinaloa  mexico) ,5
mapimí (durango  mexico),san sebastián (sinaloa  mexico) ,1
parras de la fuente (coahuila  mexico),san sebastián (sinaloa  mexico) ,2
san juan del río (durango  mexico),san sebastián (sinaloa  mexico) ,1
mazapil (zacatecas  mexico),san sebastián (sinaloa  mexico) ,1
san sebastián (sinaloa  mexico) ,tepehuanes (durango  mexico),1
hidalgo del parral (chihuahua  mexico),san sebastián (sinaloa  mexico) ,5
atotonilco el alto (mexico),san hipólito (durango  mexico) ,1
nueva vizcaya (mexico),san hipólito (durango  mexico) ,5
madrid (spain),san hipólito (durango  mexico) ,5
cuencamé (durango  mexico),san hipólito (durango  mexico) ,2
mapimí (durango  mexico),san hipólito (durango  mexico) ,1
parras de la fuente (coahuila  mexico),san hipólito (durango  mexico) ,2
san hipólito (durango  mexico) ,san juan del río (durango  mexico),1
mazapil (zacatecas  mexico),san hipólito (durango  mexico) ,1
san hipólito (durango  mexico) ,tepehuanes (durango  mexico),1
hidalgo del parral (chihuahua  mexico),san hipólito (durango  mexico) ,4
atotonilco el alto (mexico),nueva vizcaya (mexico),1
atotonilco el alto (mexico),madrid (spain),1
atotonilco el alto (mexico),cuencamé (durango  mexico),1
atotonilco el alto (mexico),mapimí (durango  mexico),1
atotonilco el alto (mexico),parras de la fuente (coahuila  mexico),1
atotonilco el alto (mexico),san juan del río (durango  mexico),1
atotonilco el alto (mexico),mazapil (zacatecas  mexico),1
atotonilco el alto (mexico),tepehuanes (durango  mexico),1
atotonilco el alto (mexico),hidalgo del parral (chihuahua  mexico),1
cuencamé (durango  mexico),nueva vizcaya (mexico),6
mapimí (durango  mexico),nueva vizcaya (mexico),6
nueva vizcaya (mexico),parras de la fuente (coahuila  mexico),4
nueva vizcaya (mexico),san juan del río (durango  mexico),1
mazapil (zacatecas  mexico),nueva vizcaya (mexico),2
nueva vizcaya (mexico),tepehuanes (durango  mexico),2
cuencamé (durango  mexico),madrid (spain),6
madrid (spain),mapimí (durango  mexico),7
madrid (spain),parras de la fuente (coahuila  mexico),3
madrid (spain),san juan del río (durango  mexico),1
madrid (spain),mazapil (zacatecas  mexico),2
madrid (spain),tepehuanes (durango  mexico),2
cuencamé (durango  mexico),mapimí (durango  mexico),1
cuencamé (durango  mexico),parras de la fuente (coahuila  mexico),1
cuencamé (durango  mexico),san juan del río (durango  mexico),1
cuencamé (durango  mexico),mazapil (zacatecas  mexico),1
cuencamé (durango  mexico),tepehuanes (durango  mexico),1
cuencamé (durango  mexico),hidalgo del parral (chihuahua  mexico),2
mapimí (durango  mexico),parras de la fuente (coahuila  mexico),1
mapimí (durango  mexico),san juan del río (durango  mexico),1
mapimí (durango  mexico),mazapil (zacatecas  mexico),1
mapimí (durango  mexico),tepehuanes (durango  mexico),1
hidalgo del parral (chihuahua  mexico),mapimí (durango  mexico),1
parras de la fuente (coahuila  mexico),san juan del río (durango  mexico),1
mazapil (zacatecas  mexico),parras de la fuente (coahuila  mexico),1
parras de la fuente (coahuila  mexico),tepehuanes (durango  mexico),1
hidalgo del parral (chihuahua  mexico),parras de la fuente (coahuila  mexico),3
mazapil (zacatecas  mexico),san juan del río (durango  mexico),1
san juan del río (durango  mexico),tepehuanes (durango  mexico),1
hidalgo del parral (chihuahua  mexico),san juan del río (durango  mexico),1
mazapil (zacatecas  mexico),tepehuanes (durango  mexico),2
hidalgo del parral (chihuahua  mexico),mazapil (zacatecas  mexico),2
hidalgo del parral (chihuahua  mexico),tepehuanes (durango  mexico),2
durango (durango  mexico),mexico city (mexico),4
labrador (n.l.),nueva vizcaya (mexico),4
durango (durango  mexico),labrador (n.l.),3
durango (durango  mexico),hidalgo del parral (chihuahua  mexico),7
durango (durango  mexico),san andrés (chihuahua  mexico) ,1
saltillo (coahuila  mexico),san andrés (chihuahua  mexico) ,1
madrid (spain),san andrés (chihuahua  mexico) ,1
rosario (sinaloa  mexico),san andrés (chihuahua  mexico) ,1
puebla (mexico),san andrés (chihuahua  mexico) ,1
nueva vizcaya (mexico),san andrés (chihuahua  mexico) ,1
copala (sinaloa  mexico) ,san andrés (chihuahua  mexico) ,1
ostimuri (mexico) ,san andrés (chihuahua  mexico) ,1
san andrés (chihuahua  mexico) ,santa catarina (durango  mexico),1
san andrés (chihuahua  mexico) ,san ildefonso (sonora  mexico) ,1
peru,san andrés (chihuahua  mexico) ,1
san andrés (chihuahua  mexico) ,sonora (mexico),1
guadalajara (jalisco  mexico),san andrés (chihuahua  mexico) ,1
san andrés (chihuahua  mexico) ,san hipólito (durango  mexico) ,1
san andrés (chihuahua  mexico) ,santa ana (sonora  mexico),1
colorado river,san andrés (chihuahua  mexico) ,1
hidalgo del parral (chihuahua  mexico),san andrés (chihuahua  mexico) ,1
san andrés (chihuahua  mexico) ,santa bárbara (chihuahua  mexico),1
san andrés (chihuahua  mexico) ,sinaloa (mexico),1
san andrés (chihuahua  mexico) ,san sebastián (sinaloa  mexico) ,1
san andrés (chihuahua  mexico) ,topia (durango  mexico),1
san andrés (chihuahua  mexico) ,san diego de minas nuevas (mexico) ,1
san andrés (chihuahua  mexico) ,valle de allende (chihuahua  mexico),1
guanaceví (durango  mexico),san andrés (chihuahua  mexico) ,1
parras de la fuente (coahuila  mexico),san andrés (chihuahua  mexico) ,1
san andrés (chihuahua  mexico) ,san francisco del oro (chihuahua  mexico),1
california (new spain),san andrés (chihuahua  mexico) ,1
cerro gordo (durango  mexico) ,san andrés (chihuahua  mexico) ,1
durango (durango  mexico),saltillo (coahuila  mexico),2
durango (durango  mexico),rosario (sinaloa  mexico),2
durango (durango  mexico),puebla (mexico),3
copala (sinaloa  mexico) ,durango (durango  mexico),1
durango (durango  mexico),ostimuri (mexico) ,2
durango (durango  mexico),santa catarina (durango  mexico),3
durango (durango  mexico),san ildefonso (sonora  mexico) ,3
durango (durango  mexico),peru,2
durango (durango  mexico),sonora (mexico),4
durango (durango  mexico),guadalajara (jalisco  mexico),11
durango (durango  mexico),san hipólito (durango  mexico) ,2
durango (durango  mexico),santa ana (sonora  mexico),1
colorado river,durango (durango  mexico),3
durango (durango  mexico),santa bárbara (chihuahua  mexico),1
durango (durango  mexico),sinaloa (mexico),6
durango (durango  mexico),san sebastián (sinaloa  mexico) ,2
durango (durango  mexico),topia (durango  mexico),1
durango (durango  mexico),san diego de minas nuevas (mexico) ,1
durango (durango  mexico),valle de allende (chihuahua  mexico),1
durango (durango  mexico),guanaceví (durango  mexico),1
durango (durango  mexico),parras de la fuente (coahuila  mexico),1
california (new spain),durango (durango  mexico),3
cerro gordo (durango  mexico) ,durango (durango  mexico),4
rosario (sinaloa  mexico),saltillo (coahuila  mexico),1
puebla (mexico),saltillo (coahuila  mexico),2
copala (sinaloa  mexico) ,saltillo (coahuila  mexico),1
