source,target,weight,source_clean
Cora Indians,madria,1,cora indians
Cora Indians,nayarit,1,cora indians
Cora Indians,barra de alvarado,1,cora indians
Cora Indians,parral,1,cora indians
Apache Indians,duque de la conquista,2,apache indians
Apache Indians,compañía,5,apache indians
Apache Indians,francisco de valdivieso,2,apache indians
Apache Indians,parras,2,apache indians
Apache Indians,consejo,7,apache indians
Apache Indians,real hacienda,4,apache indians
Apache Indians,consejo de las indias,6,apache indians
Apache Indians,apaches,9,apache indians
Apache Indians,conde de san pedro del álamo,3,apache indians
Apache Indians,nueva vizcaya,4,apache indians
Apache Indians,aranjuez,5,apache indians
Apache Indians,españa,3,apache indians
Apache Indians,conchos,3,apache indians
Apache Indians,presidio de conchos,2,apache indians
Apache Indians,cristóbal de córdoba,1,apache indians
Apache Indians,anza,6,apache indians
Apache Indians,joseph francisco de valdivieso y echevers,1,apache indians
Apache Indians,hacienda del álamo,1,apache indians
Apache Indians,parral,2,apache indians
Apache Indians,laguna de san pedro,1,apache indians
Apache Indians,cristóbal de cárdenas,1,apache indians
Apache Indians,saltillo,2,apache indians
Apache Indians,presidio del pasaje,2,apache indians
Apache Indians,bahía del espíritu santo,1,apache indians
Apache Indians,del pasaje,3,apache indians
Apache Indians,texas,1,apache indians
Apache Indians,gila,4,apache indians
Apache Indians,san antonio de valero,1,apache indians
Apache Indians,adaes,1,apache indians
Apache Indians,mojada,1,apache indians
Apache Indians,reina,1,apache indians
Apache Indians,san ildefonso,1,apache indians
Apache Indians,coahuila,2,apache indians
Apache Indians,conde de fonclara,1,apache indians
Apache Indians,coapas,1,apache indians
Seri Indians,compañía,4,seri indians
Seri Indians,conchos,2,seri indians
Seri Indians,rubio,1,seri indians
Seri Indians,joseph rafael rodríguez gallardo,1,seri indians
Seri Indians,sobaípuri,1,seri indians
Seri Indians,la reina gobernadora,1,seri indians
Seri Indians,pima,7,seri indians
Seri Indians,manuel de san juan,1,seri indians
Seri Indians,pítiqui,1,seri indians
Seri Indians,celis,1,seri indians
Seri Indians,alonso víctores rubio de celis,1,seri indians
Seri Indians,nueva vizcaya,3,seri indians
Seri Indians,sinaloa,9,seri indians
Seri Indians,pilares,2,seri indians
Seri Indians,pimas,7,seri indians
Seri Indians,presidio del paso,1,seri indians
Seri Indians,juan de mendoza,2,seri indians
Seri Indians,pópulo,1,seri indians
Seri Indians,san juan,1,seri indians
Seri Indians,sonora,6,seri indians
Seri Indians,san miguel de horcasitas,1,seri indians
Seri Indians,parrilla,5,seri indians
Seri Indians,ríos del norte,1,seri indians
Seri Indians,diego ortiz parrilla,5,seri indians
Seri Indians,san juan bautista,1,seri indians
Seri Indians,don diego,5,seri indians
Seri Indians,presidio de san miguel,1,seri indians
Seri Indians,mateo antonio de mendoza,1,seri indians
Seri Indians,pimas altos,3,seri indians
Seri Indians,consejo,6,seri indians
