Mencion,Normalización,Categoría
Acevedo,"Acevedo, Joseph de [Sin match LC]",PER
Acoclames,Acoclames Indians [Sin match LC],ORG
Marques de Casa Fuerte,"Acuña, Juan de, Marqués de Casa Fuerte, 1658-1734",PER
Marqués de Casa Fuerte,"Acuña, Juan de, Marqués de Casa Fuerte, 1658-1734",PER
Adriano VI,"Adrian VI, Pope, 1459-1523",PER
Francisco de Agramont y Arce,"Agramont y Arce, Francisco de [Sin match LC]",PER
Francisco de Agramoty Arce,"Agramont y Arce, Francisco de [Sin match LC]",PER
Manuel Agramont y Arce,"Agramont y Arce, Manuel [Sin match LC]",PER
Manuel de Agramonte,"Agramont y Arce, Manuel [Sin match LC]",PER
Aguacaliente,Aguacaliente (Mexico) [Sin match LC],LOC
Francisco de Aguilar,"Aguilar, Francisco de [Sin match LC]",PER
Don Joseph de Aguilar,"Aguilar, Joseph de [Sin match LC]",PER
Joseph de Aguilar,"Aguilar, Joseph de [Sin match LC]",PER
Juan Miguel de Agurto,"Agurto y Salcedo, Juan Miguel de [Sin match LC]",PER
Real de los Álamos,"Álamos (Sonora, Mexico)",LOC
Diego de Alarcón Fajardo,"Alarcón Fajardo, Diego de [Sin match LC]",PER
Martín de Alarcón,"Alarcón, Martín de, active 1703-1723",PER
Martín de Alday,"Alday, Martín de [Sin match LC]",PER
Martín de Alday,"Alday, Martín de [Sin match LC]",PER
Alejandro III,"Alexander III, Pope, -1181",PER
Alejandro VI,"Alexander VI, Pope, 1431-1503",PER
Alonso el Católico,"Alfonso III, King of Asturias, 848-910",PER
Pedro Ignacio Altamirano,"Altamirano, Pedro Ignacio [Sin match LC]",PER
barra de Alvarado,"Alvarado (Veracruz-Llave, Mexico)",LOC
Gregorio Álvarez Tuñón y Quirós,"Álvarez Tuñón y Quirós, Gregorio [Sin match LC]",PER
Marqués de las Amarillas,"Amarillas, Agustín de Ahumada y Villalón, Marqués de las, 1704-1760",PER
estrecho de Amán,"Anián, Strait of",LOC
Gregorio de Año,"Año, Gregorio de [Sin match LC]",PER
Anza,"Anza, Juan Bautista de, 1735-1788",PER
Juan Bautista de Anza,"Anza, Juan Bautista de, 1735-1788",PER
apache,apache Indians,MISC
Apaches,apache Indians,MISC
Juan Aparicio,"Aparicio del Manzano, Juan [Sin match LC]",PER
Domingo de Apresa Falcon,"Apresa Falcón, Domingo de [Sin match LC]",PER
Domingo de Apresa Falcón,"Apresa Falcón, Domingo de [Sin match LC]",PER
Aranjuez,Aranjuez (Spain),LOC
Antonio de Arce y Arroyo,"Arce y Arroyo, Antonio de [Sin match LC]",PER
Juan Antonio de Arce y Arroyo,"Arce y Arroyo, Juan Antonio de [Sin match LC]",PER
Arespacochaga,"Arespacochaga, Juan Joseph de [Sin match LC]",PER
Juan Joseph de Arespacochaga,"Arespacochaga, Juan Joseph de [Sin match LC]",PER
Antonio Arias,"Arias, Antonio [Sin match LC]",PER
Armada de Barlovento,Armada de Barlovento [Sin match LC],ORG
Julián de Arriaga,"Arriaga, Julián de, 1700-1776",PER
Antonio de Arrieta,"Arrieta, Antonio de [Sin match LC]",PER
Arrieta,"Arrieta, Antonio de [Sin match LC]",PER
Pablo de Arze y Arroyo,"Arze y Arroyo, Pablo de [Sin match LC]",PER
Antonio Astina,"Astina, Antonio [Sin match LC]",PER
Antonio de Astina,"Astina, Antonio de [Sin match LC]",PER
Atotonilco,Atotonilco el Alto (Mexico),LOC
Audiencia de Cuentas,Audiencia de Cuentas [Sin match LC],ORG
Agustín Auscuhul,"Auscuhul, Agustín [Sin match LC]",PER
Francisco Barbadillo,"Barbadillo y Vitoria, Francisco, active 1715-1723",PER
Barca,"Barca (Jalisco, Mexico)",LOC
Barcelona,Barcelona (Spain),LOC
Barrutia,"Barrutia, Ignacio Francisco de [Sin match LC]",PER
Ignacio Francisco Barrutia,"Barrutia, Ignacio Francisco de [Sin match LC]",PER
Ignacio Francisco de Barrutia,"Barrutia, Ignacio Francisco de [Sin match LC]",PER
Ignacio Franco Barrutia,"Barrutia, Ignacio Francisco de [Sin match LC]",PER
Joseph Basarte,"Basarte, Joseph [Sin match LC]",PER
Fernando Bayerca,"Bayecera, Fernando [Sin match LC]",PER
Bayoreca,Bayoreca (Mexico) [Sin match LC],LOC
Miguel Becerra,"Becerra, Miguel [Sin match LC]",PER
Belaunzarán,"Belaunzarán, Juan Bautista de [Sin match LC]",PER
Juan Bautista de Belaunzarán,"Belaunzarán, Juan Bautista de [Sin match LC]",PER
Nicolás Berdugo,"Berdugo, Nicolás [Sin match LC]",PER
Huidobro,"Bernal de Huidobro, Manuel [Sin match LC]",PER
Manuel Bernal,"Bernal de Huidobro, Manuel [Sin match LC]",PER
Manuel Bernal de Huidobro,"Bernal de Huidobro, Manuel [Sin match LC]",PER
Manuel de Huidobro,"Bernal de Huidobro, Manuel [Sin match LC]",PER
Antonio Bezerra,"Bezerra, Antonio [Sin match LC]",PER
Martín de Blancas,"Blancas, Martín de [Sin match LC]",PER
Martín de Blancas,"Blancas, Martín de [Sin match LC]",PER
Joseph Bossam,"Bossam, Joseph [Sin match LC]",PER
Buen Retiro,"Buen Retiro (Madrid, Spain)",LOC
Bernardo de Bustamante,"Bustamante y Tagle, Bernardo de [Sin match LC]",PER
Caborca,"Caborca (Sonora, Mexico)",LOC
Cádiz,Cádiz (Spain),LOC
Caja de Durango,Caja de Durango [Sin match LC],ORG
Caja Real de Guadiana,Caja Real de Guadiana [Sin match LC],ORG
Cajón,Cajón (Mexico) [Sin match LC],LOC
Calderón,"Calderón, Sebastián [Sin match LC]",PER
Sebastián Calderón,"Calderón, Sebastián [Sin match LC]",PER
California,California (New Spain),LOC
Californias,California (New Spain),LOC
Diego Camacho Dávila,"Camacho Dávila, Diego [Sin match LC]",PER
Juan Camacho,"Camacho, Juan [Sin match LC]",PER
Joseph del Campillo,"Campillo y Cossío, Joseph del, 1693-1743",PER
Nueva Canadá,"Canada, New (N.S.) [Sin match LC]",LOC
Cristóbal de Cárdenas,"Cárdenas, Cristóbal de [Sin match LC]",PER
Carrizal,"Carrizal (Chihuahua, Mexico) [Sin match LC]",LOC
Cartagena,Cartagena (Colombia),LOC
Casas Grandes,"Casas Grandes (Chihuahua, Mexico)",LOC
San Antonio de Casas Grandes,"Casas Grandes (Chihuahua, Mexico)",LOC
Juan Ignacio de Castañeda,"Castañeda, Juan Ignacio de [Sin match LC]",PER
Castilla,Castile (Spain),LOC
Gabriel del Castillo,"Castillo, Gabriel del [Sin match LC]",PER
Felipe Catalán,"Catalán, Felipe [Sin match LC]",PER
Cataluña,Catalonia (Spain),LOC
Obispo de Durango,Catholic Church. Diocese of Durango,ORG
Obispo de la Puebla,Catholic Church. Diocese of Puebla,ORG
Alonso de Celis,"Celis, Alonso de [Sin match LC]",PER
Conde de Galve,"Cerda Sandoval Silva y Mendoza, Gaspar de la, Conde de Galve, 1653-1697",PER
Cerro Gordo,"Cerro Gordo (Durango, Mexico) [Sin match LC]",LOC
Juan de Cervantes,"Cervantes Casaus, Juan de [Sin match LC]",PER
Gonzalo de Cevallos Vilamaior,"Cevallos Villamayor, Gonzalo de [Sin match LC]",PER
Chametla,"Chametla (Sinaloa, Mexico) [Sin match LC]",LOC
Carlos Tercero,"Charles III, King of Spain, 1716-1788",PER
Chiguagua,"Chihuahua (Chihuahua, Mexico)",LOC
Chihuahua,"Chihuahua (Chihuahua, Mexico)",LOC
San Felipe,"Chihuahua (Chihuahua, Mexico)",LOC
China,China,LOC
Chinarras,chinarra Indians [Sin match LC],MISC
Chizos,chiso Indians,MISC
Coahuila,Coahuila (Mexico),LOC
Coahuilteños,coahuiltecan Indians,MISC
Coapas,Coapas (Mexico) [Sin match LC],LOC
Cocoyomes,cocoyome Indians [Sin match LC],MISC
Colima,Colima (Mexico),LOC
Audiencia de Santa Fe,Colombia. Audiencia de Santa Fe,ORG
Colorado,Colorado River,LOC
Concha,concho Indians,MISC
Conchas,concho Indians,MISC
Conchos,concho Indians,MISC
Juan Constantino,"Constantino, Juan [Sin match LC]",PER
Pedro Domingo de Contreras,"Contreras, Pedro Domingo de [Sin match LC]",PER
Copala,"Copala (Sinaloa, Mexico) [Sin match LC]",LOC
nayaritas,cora Indians,MISC
Cristóbal de Córdoba,"Córdoba, Cristóbal de [Sin match LC]",PER
Joseph de Córdova,"Córdova, Joseph de [Sin match LC]",PER
Corodéguachi,"Corodéguachi (Sonora, Mexico) [Sin match LC]",LOC
Santa Rosa,"Corodéguachi (Sonora, Mexico) [Sin match LC]",LOC
